timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677339264,462,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-10,text,true,,191,123,18,18,http://localhost:3000/posts/,461,0,0
1670677339266,464,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-11,text,true,,191,123,18,18,http://localhost:3000/posts/,464,0,0
1670677339428,305,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-14,text,false,Test failed: code expected to contain /200/,985,231,18,18,http://localhost:3000/posts/,304,0,0
1670677339572,181,SimpleBlg_01_GET,200,OK,Thread Group 1-19,text,true,,190,117,18,18,http://localhost:3000/,181,0,1
1670677339680,77,SimpleBlg_01_GET,200,OK,Thread Group 1-20,text,true,,190,117,18,18,http://localhost:3000/,77,0,2
1670677339523,241,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,823,211,18,18,http://localhost:3000/posts/:NF,241,0,0
1670677339539,231,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,823,212,18,18,http://localhost:3000/posts/:NF,231,0,0
1670677339677,104,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-6,text,false,Test failed: code expected to contain /200/,823,212,17,17,http://localhost:3000/posts/:NF,104,0,0
1670677339674,115,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-8,text,false,Test failed: code expected to contain /200/,823,211,17,17,http://localhost:3000/posts/:NF,115,0,0
1670677339669,124,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-9,text,false,Test failed: code expected to contain /200/,823,211,17,17,http://localhost:3000/posts/:NF,124,0,0
1670677339683,111,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-18,text,true,,191,123,17,17,http://localhost:3000/posts/,111,0,0
1670677339680,118,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-17,text,true,,191,123,17,17,http://localhost:3000/posts/,118,0,0
1670677339705,128,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-15,text,false,Test failed: code expected to contain /200/,823,211,17,17,http://localhost:3000/posts/:NF,128,0,0
1670677339699,140,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-13,text,false,Test failed: code expected to contain /200/,823,211,17,17,http://localhost:3000/posts/:NF,140,0,0
1670677339253,589,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-4,text,false,Test failed: code expected to contain /200/,985,231,17,17,http://localhost:3000/posts/,589,0,0
1670677339693,153,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-12,text,false,Test failed: code expected to contain /200/,823,211,17,17,http://localhost:3000/posts/:NF,153,0,0
1670677339754,96,SimpleBlg_02_health_check,200,OK,Thread Group 1-19,text,true,,165,129,17,17,http://localhost:3000/health_check,96,0,0
